property_name,locality,address,pincode,operator,operator_source_type,identity_confidence,universe_version,source_platform,source_url,sharing_type,published_rent,amenities,provenance,status
Modern PG Men's Hostel (Behind Chennai One) / SS Modern PG Men's Hostel (OMR),Thoraipakkam,"No.54B First Main Road, Behind Chennai One, Anand Nagar, Thoraipakkam, Chennai-600097",,independent,independent,high,v2,Justdial + Sulekha,https://www.justdial.com/Chennai/Modern-PG-Mens-Hostel-Behind-Chennai-One-Thoraipakkam/044PXX44-XX44-200108183647-C8J1_BZDET,AC / non-AC,,,platform listing sweep (omr); identity confirmed name+locality,verified
Sri Sai Ram Ladies & Gents Hostel,Thoraipakkam,"Near Thoraipakkam Police Station, Dr. CL Metha Salai, Thoraipakkam, Chennai-600097",,independent,independent,high,v2,Justdial,https://www.justdial.com/Chennai/Sri-Sai-Ram-Ladies-Gents-Hostel-Near-Thoraipakkam-Police-Station-Thoraipakkam/044PXX44-XX44-180508211701-J7J9_BZDET,,,,platform listing sweep (omr); identity confirmed name+locality,verified
RK Mens PG Hostel,Thoraipakkam,"Near Toll Gate, Thoraipakkam, Chennai",,independent,independent,high,v2,Justdial,https://www.justdial.com/Chennai/RK-Mens-PG-Hostel-Thoraipakkam-chennai1-tolgate-near-by-Thoraipakkam/044PXX44-XX44-170505102511-L3J6_BZDET,,,,platform listing sweep (omr); identity confirmed name+locality,verified
Rudhra Men's PG Hostel,Thoraipakkam,"Plot No. 57, 1st Main Road, PVS Nagar, Thoraipakkam, Chennai - 600097",,independent,independent,high,v2,Dorms.com,https://www.dorms.com/youth-Hostel/Rudhra-Mens-PG-Hostel-Thoraipakkam-OMR/BK14769059,,,,platform listing sweep (omr); identity confirmed name+locality,verified
Pearlcastles Gents Hostel,Thoraipakkam,"Thoraipakkam OMR, Chennai",,independent,independent,high,v2,PGchoice,https://www.pgchoice.com/details/pearlcastles-gents-hostel-mens-pg-in-thoraipakkam-omr-700,,,,platform listing sweep (omr); identity confirmed name+locality,verified
My Home Ladies Hostel & PG (AC),Thoraipakkam,"Door No.5/284, Vivekanandar Street, Okkiyampet, Thoraipakkam, OMR, Chennai - 600097",,independent,independent,high,v2,Sulekha,https://www.sulekha.com/my-home-ladies-hostel-pg-thoraipakkam-chennai-contact-address,AC rooms with attached restrooms,,"AC, CCTV, WiFi, TV/DTH, purified water, warden 24x7, two-wheeler parking, washing machine, fridge, veg & non-veg food",platform listing sweep (omr); identity confirmed name+locality,verified
Amman Ladies Hostel & Pg Accommodation,Kottivakkam,"No 1/392, Kalathumettu Street, behind HCL, near Kottivakkam Fish Market Bus Stop, Kottivakkam, Chennai - 600041",,independent,independent,high,v2,Justdial,https://www.justdial.com/Chennai/Amman-Ladies-Hostel-Pg-Accommodation-Behind-HCL-Near-Kottivakkam-Fish-Market-Bus-Stop-Kottivakkam/044PXX44-XX44-160618082848-Y7K3_BZDET,,,,platform listing sweep (omr); identity confirmed name+locality,verified
Dharani PG Ladies Hostel,Kottivakkam,"No. 2/173, Raja Garden, 2nd Street, Kottivakkam, Chennai - 600041",,independent,independent,high,v2,Sulekha,https://www.sulekha.com/dharani-pg-ladies-hostel-kottivakkam-chennai-contact-address,single sharing,"Rs.5,400/month (single sharing)",,platform listing sweep (omr); identity confirmed name+locality,verified
Mahalakshmi Ladies Hostel,Kottivakkam,"No. 22, 3rd Street, Swami Nathan Nagar, Kottivakkam, Chennai - 600041",,independent,independent,high,v2,Sulekha,https://www.sulekha.com/mahalakshmi-ladies-hostel-kottivakkam-chennai-contact-address,,,"AC, common TV, parking, WiFi/broadband, geyser, mineral/filter drinking water",platform listing sweep (omr); identity confirmed name+locality,verified
Poomalai Ladies Hostel PG,Kottivakkam,"No 4/85, 5th Main Road, Swami Nathan Nagar, Opp St. Antonys School, Kottivakkam, Chennai 600041",,independent,independent,high,v2,HomeLikePG,https://homelikepg.com/chennai/kottivakkam/poomalai-ladies-hostel-pg/2c3b46e2ceaa,,,,platform listing sweep (omr); identity confirmed name+locality,verified
Saibaba Ladies PG & Hostel (Sai Baba Women Hostel),Kottivakkam,"3/555, Venkateswara Nagar, AGS Colony Extn, Kottivakkam, Chennai - 600041",,independent,independent,high,v2,Sulekha / WebSearch,https://www.sulekha.com/pg/kottivakkam-chennai,,,,platform listing sweep (omr); identity confirmed name+locality,verified
Grace Home Ladies Hostel,Kottivakkam,"AGS Colony, Kottivakkam, near Thiruvanmiyur, Chennai - 600041",,independent,independent,high,v2,Sulekha,https://www.sulekha.com/womens-hostel/kottivakkam-chennai,AC / non-AC,,"24-hr water, marble flooring, TV, AC/non-AC, homely hygienic food",platform listing sweep (omr); identity confirmed name+locality,verified
YMCA Working Women's Hostel,Kottivakkam,"No 4/341, SRP Tools, Old Mahabalipuram Road, Kottivakkam, Chennai 600041",,independent,independent,high,v2,Sulekha / WebSearch,https://www.sulekha.com/pg/kottivakkam-chennai,,,,platform listing sweep (omr); identity confirmed name+locality,verified
Oasis PG For Men,"Potheri / SRM Nagar, Kattankulathur","Kannamal Street, SRM Nagar, near SRM University, Potheri, Chengalpattu 603203",,independent,independent,high,v2,JustDial; gopgo.in,https://www.justdial.com/Chengalpattu/Oasis-PG-For-Men-Near-Srm-University-Potheri/9999PXX44-XX44-181212122515-D9G9_BZDET,"Private room, 2-share, 3-share",Not displayed as numeric on listing (described affordable/budget),"AC available, free Wi-Fi (per listing)",platform listing sweep (kattankulathur); identity confirmed name+locality,verified
A S R PG (ASR PG),"SRM Nagar / Potheri, Kattankulathur","Behind SRM University, near TRS, Potheri, Thailavaram, Kattankulathur, SRM Nagar",,independent,independent,high,v2,JustDial,https://www.justdial.com/Chengalpattu/A-S-R-Pg-Behind-SRM-University-Near-TRS-Potheri-Thailavaram-Kattankulathur-Srm-Nagar/9999PXX44-XX44-231216124355-E9F5_BZDET,Not displayed,Not displayed,Not explicitly displayed,platform listing sweep (kattankulathur); identity confirmed name+locality,verified
Srinivasa Gents Accommodation (Srinivasa Paying Guest),"Samundeswari Nagar, Potheri, Kattankulathur","No.80, Samundeswari Nagar, near Disco Chettinadu Restaurant, near SRM, Potheri, Chengalpattu 603203",,independent,independent,high,v2,JustDial; NoBroker,https://www.justdial.com/Chengalpattu/Srinivasa-Gents-Accommodation-Near-Disco-Chettinadu-RestarentNear-SRM-Potheri/9999PXX44-XX44-151019120550-Q2P7_BZDET,Shared (per NoBroker),"₹12,000/month (NoBroker listing)",Not explicitly displayed,platform listing sweep (kattankulathur); identity confirmed name+locality,verified
Zolo Logos,"Adyar, Chennai","33,16 1st Main Rd, Indira Nagar, Adyar",600020,Zolo,operator:Zolo,high,v2,Zolo,https://zolostays.com/pg-hostel-near-adyar-in-chennai-zolo_logos-zolgs,"Private,2,3,4-sharing","2-sharing ₹16,791; 3-sharing ₹14,442; starts ₹13,720","Parking, TV, Refrigerator, Power Backup, CCTV, Housekeeping, WiFi, Lift, Drinking Water","zolostays.com per-locality page, browser-rendered 2026-08; gender unisex; food vendors nearby (not Zolo-provided)",verified
Zolo Playa,"Kottivakkam, Chennai","3/355 AGS Colony Extn, Beach Rd, Kottivakkam",600041,Zolo,operator:Zolo,high,v2,Zolo,https://zolostays.com/pg-hostel-near-kottivakkam-in-chennai-zolo_playa-zch026,"Private,2,3,4-sharing","Private ₹17,835; 2-sharing ₹9,352; 3-sharing ₹8,613; 4-sharing ₹7,656","Parking, TV, Refrigerator, Power Backup, CCTV, Security, AC, WiFi, Drinking Water","zolostays.com per-locality page, browser-rendered 2026-08; gender men; Food is not available in Zolo Playa (order/dine-in nearby)",verified
Zolo Playa B,"Kottivakkam, Chennai",,600041,Zolo,operator:Zolo,high,v2,Zolo,https://zolostays.com/pg-hostel-near-kottivakkam-in-chennai-zolo_playa_b-zlpb,starting-price only,"starts ₹10,745",,"zolostays.com per-locality page, browser-rendered 2026-08; gender men; ",verified
Zolo Vibe,"Perungudi, Chennai",,600096,Zolo,operator:Zolo,high,v2,Zolo,https://zolostays.com/pgs-in-perungudi-chennai,starting-price only,"starts ₹9,135",,"zolostays.com per-locality page, browser-rendered 2026-08; gender men; ",verified
Zolo Aura,"Perungudi, Chennai",,600096,Zolo,operator:Zolo,high,v2,Zolo,https://zolostays.com/pgs-in-perungudi-chennai,starting-price only,"starts ₹9,396",,"zolostays.com per-locality page, browser-rendered 2026-08; gender men; ",verified
Zolo Thrones,"Perungudi, Chennai",,600096,Zolo,operator:Zolo,high,v2,Zolo,https://zolostays.com/pgs-in-perungudi-chennai,starting-price only,"starts ₹10,745",,"zolostays.com per-locality page, browser-rendered 2026-08; gender men; ",verified
Zolo Abode,"Perungudi, Chennai",,600096,Zolo,operator:Zolo,high,v2,Zolo,https://zolostays.com/pgs-in-perungudi-chennai,starting-price only,"starts ₹8,798",,"zolostays.com per-locality page, browser-rendered 2026-08; gender unisex; ",verified
Zolo Bohemia,"Thoraipakkam, Chennai",,600097,Zolo,operator:Zolo,high,v2,Zolo,https://zolostays.com/pgs-in-perungudi-chennai,starting-price only,"starts ₹10,414",,"zolostays.com per-locality page, browser-rendered 2026-08; gender men; ",verified
Zolo Sereno,"Thoraipakkam, Chennai",,600097,Zolo,operator:Zolo,high,v2,Zolo,https://zolostays.com/pgs-in-perungudi-chennai,starting-price only,"starts ₹10,361",,"zolostays.com per-locality page, browser-rendered 2026-08; gender unisex; ",verified
